,Postalcode,Borough,Neighborhood,Latitude,Longitude,8 Peak Hr Veh Vol,8 Peak Hr Ped Vol
88,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000001,9349.583333333334,1010.125
89,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,15612.09090909091,375.93939393939394
90,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,17328.2,739.6666666666666
91,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999,14994.611111111111,551.5555555555555
92,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000001,19637.777777777777,588.2222222222222
93,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002,18623.916666666668,422.0833333333333
94,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001,16683.52,314.44
95,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999,16635.73076923077,440.38461538461536
96,M9L,North York,Humber Summit,43.7563033,-79.56596329999999,16502.8,393.88
97,M9M,North York,"Emery, Humberlea",43.7247659,-79.53224240000002,16730.458333333332,526.5833333333334
98,M9N,York,Weston,43.706876,-79.51818840000001,14799.3,1040.8666666666666
99,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,13471.941176470587,411.0
100,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001,17772.414634146342,439.390243902439
101,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369,15043.947368421053,746.9824561403509
102,M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544,14233.25,208.39285714285714
