,Postalcode,name,categories,address,crossStreet,distance,formattedAddress,lat,lng,state,id
12,M5L,Restaurant | Adelaide,Restaurant,325 Bay St (31st floor),,164.0,"['325 Bay St (31st floor)', 'Toronto ON M5H', 'Canada']",43.649563,-79.38059,ON,5a7c3e079de23b294a2c4117
13,M5H,Osgoode Hall Restaurant,New American Restaurant,130 Queen St W,University Ave,161.0,"['130 Queen St W (University Ave)', 'M5H 2N6', 'Canada']",43.651978959035155,-79.3850485857013,,4cffc78a75d3236a3b10e7f7
14,M5J,Evviva Restaurant,Deli / Bodega,25 Lower Simcoe St,Grand Trunk Cresc,161.0,"['25 Lower Simcoe St (Grand Trunk Cresc)', 'Toronto ON M5J 3A1', 'Canada']",43.64157991761808,-79.38345644030795,ON,562922be498e2c6aad0e6091
15,M5T,Sky Dragon Chinese Restaurant 龍翔酒樓,Dim Sum Restaurant,280 Spadina Ave.,at Dundas St. W.,158.0,"['280 Spadina Ave. (at Dundas St. W.)', 'Toronto ON', 'Canada']",43.65278331265585,-79.39817372355205,ON,4b072e9df964a52009f922e3
16,M5T,Swatow Restaurant 汕頭小食家,Chinese Restaurant,309 Spadina Ave.,btwn Dundas St. W & D'Arcy St.,156.0,"[""309 Spadina Ave. (btwn Dundas St. W & D'Arcy St.)"", 'Toronto ON M5T 2E6', 'Canada']",43.65386562507761,-79.39833353339202,ON,4ae29812f964a520288f21e3
17,M5T,Canteen Restaurant,Chinese Restaurant,"280 Spadina Ave, Unit L, 2nd Fl.",at Dundas St W,149.0,"['280 Spadina Ave, Unit L, 2nd Fl. (at Dundas St W)', 'Toronto ON M5T 3A5', 'Canada']",43.6528214686215,-79.39827498252554,ON,4ae7710bf964a52057ab21e3
18,M5T,King's Noodle House 富豪麵家,Chinese Restaurant,296 Spadina Ave,at Dundas St W,148.0,"['296 Spadina Ave (at Dundas St W)', 'Toronto ON M5T 2E7', 'Canada']",43.6530891014144,-79.39821356650025,ON,4ae74cfaf964a5202eaa21e3
19,M4X,Rainbow Restaurant,Indian Restaurant,587 parliament street,Parliament and wellesley,148.0,"['587 parliament street (Parliament and wellesley)', 'Toronto ON', 'Canada']",43.66741592867017,-79.36934978648982,ON,4c4b1e1ac668e21ea05da0f9
20,M4X,Tender Trap Restaurant,Chinese Restaurant,580 Parliament St,at Wellesley St,147.0,"['580 Parliament St (at Wellesley St)', 'Toronto ON M4X 1P8', 'Canada']",43.667662,-79.369464,ON,4b7b268cf964a52061542fe3
21,M5C,Pearl Diver,Gastropub,100 Adelaide St E,Jarvis,146.0,"['100 Adelaide St E (Jarvis)', 'Toronto ON', 'Canada']",43.651481290733734,-79.37359954211877,ON,4ad8ad9bf964a520a51321e3
22,M5W,Fran's,Diner,33 Yonge St,at Front St. E,141.0,"['33 Yonge St (at Front St. E)', 'Toronto ON M5E 1G4', 'Canada']",43.647364016367966,-79.3760469880873,ON,4c6960a08e7c0f470a68df0f
23,M5T,Dumpling House,Dumpling Restaurant,328 Spadina Avenue,at Glenbaillie Pl,140.0,"['328 Spadina Avenue (at Glenbaillie Pl)', 'Toronto ON M5T 2E7', 'Canada']",43.65386003934455,-79.3985583639792,ON,4b119787f964a520188023e3
24,M5T,Saigon Lotus Restaurant,Vietnamese Restaurant,6 Saint Andrew St,Spadina Ave,139.0,"['6 Saint Andrew St (Spadina Ave)', 'Toronto ON M5T 1K6', 'Canada']",43.654310800343325,-79.39922450076845,ON,58a7c100076be13f60d1dff5
25,M5T,Ka Chi Korean Restaurant,Korean Restaurant,8 St Andrew St.,at Spadina Ave.,137.0,"['8 St Andrew St. (at Spadina Ave.)', 'Toronto ON M5T 1K6', 'Canada']",43.654306552286656,-79.3992765578534,ON,4ba2d00cf964a5203e1b38e3
26,M5T,Bright Pearl Seafood Restaurant,Chinese Restaurant,346-348 Spadina Avenue,,135.0,"['346-348 Spadina Avenue', 'Toronto ON M5T 2G2', 'Canada']",43.654219,-79.399125,ON,4ad4c05ff964a5200bf720e3
